テーブル名	論理名	合計	SP_ANALYTICS.sql	SP_BATCH_PROCESS.sql	SP_COMPLEX_DML.sql	SP_CUSTOMER.sql	SP_DATA_MIGRATION.sql	SP_INVENTORY.sql	SP_ORDER.sql	SP_REPORT.sql	SP_VIEW_DEFINITIONS.sql
		プログラム数→	-	-	-	-	-	-	-	-	-
CUSTOMER_BLACKLIST		R	R								R
CUSTOMERS		CRU	R		R	CRU	R			R	R
CUSTOMERS_ARCHIVE		CR			CR						
DAILY_AGGREGATES		CD		CD							
DUAL		R			R						
INVENTORY		CRU		RU			R	CRU		R	R
INVENTORY_AUDIT		C		C							
MONTHLY_SALES_SUMMARY		CD			CD						
ORDER_DETAILS		R					R				
ORDER_HISTORY		C					C				
ORDER_ITEMS		CRD	R	R	RD		RD		CRD	R	R
ORDERS		CRUD	R	RU	RUD	R	RD		CRU	R	R
PRICE_HISTORY		C			C						
PRODUCTS		R	R		R		R	R	R	R	R
STOCK_SHIPMENTS		R		R							
SUPPLIERS		R					R				
V_ACTIVE_CUSTOMERS		CRU									CRU
V_CATEGORY_SALES_SUMMARY		R									R
V_ORDER_DETAILS		R									R
WAREHOUSES		R					R				
